strategy,n_genes,method,pearson_r,rmse
Top Variance,100,NNLS,0.8527,0.0604
Top Variance,100,SVR,0.8585,0.0585
Top Variance,100,Robust Regression,0.8636,0.0576
Top Variance,250,NNLS,0.8966,0.0509
Top Variance,250,SVR,0.8943,0.0517
Top Variance,250,Robust Regression,0.8961,0.0504
Top Variance,500,NNLS,0.9225,0.044
Top Variance,500,SVR,0.9181,0.0454
Top Variance,500,Robust Regression,0.9221,0.0441
Top Variance,1000,NNLS,0.9132,0.0448
Top Variance,1000,SVR,0.9134,0.0449
Top Variance,1000,Robust Regression,0.9136,0.0448
Top Variance,2000,NNLS,0.9449,0.0368
Top Variance,2000,SVR,0.9443,0.037
Top Variance,2000,Robust Regression,0.9438,0.0373
Top Variance,5000,NNLS,0.9434,0.0367
Top Variance,5000,SVR,0.9414,0.0372
Top Variance,5000,Robust Regression,0.9411,0.0375
Top Differential,100,NNLS,0.8919,0.0511
Top Differential,100,SVR,0.8832,0.0526
Top Differential,100,Robust Regression,0.8916,0.0512
Top Differential,250,NNLS,0.909,0.0475
Top Differential,250,SVR,0.9118,0.0467
Top Differential,250,Robust Regression,0.9114,0.0468
Top Differential,500,NNLS,0.9192,0.0454
Top Differential,500,SVR,0.9168,0.0463
Top Differential,500,Robust Regression,0.9191,0.0457
Top Differential,1000,NNLS,0.91,0.0456
Top Differential,1000,SVR,0.9113,0.0455
Top Differential,1000,Robust Regression,0.912,0.0452
Top Differential,2000,NNLS,0.9433,0.0374
Top Differential,2000,SVR,0.9419,0.0379
Top Differential,2000,Robust Regression,0.9414,0.0382
Top Differential,5000,NNLS,0.9438,0.0366
Top Differential,5000,SVR,0.9418,0.0371
Top Differential,5000,Robust Regression,0.9416,0.0373
Top Fold Change,100,NNLS,0.7622,0.083
Top Fold Change,100,SVR,0.7982,0.0761
Top Fold Change,100,Robust Regression,0.7836,0.0811
Top Fold Change,250,NNLS,0.8446,0.0655
Top Fold Change,250,SVR,0.8151,0.0731
Top Fold Change,250,Robust Regression,0.8181,0.0723
Top Fold Change,500,NNLS,0.9247,0.0444
Top Fold Change,500,SVR,0.9177,0.0471
Top Fold Change,500,Robust Regression,0.9183,0.0469
Top Fold Change,1000,NNLS,0.91,0.0457
Top Fold Change,1000,SVR,0.9097,0.0462
Top Fold Change,1000,Robust Regression,0.9104,0.046
Top Fold Change,2000,NNLS,0.9413,0.0381
Top Fold Change,2000,SVR,0.9395,0.0386
Top Fold Change,2000,Robust Regression,0.9394,0.039
Top Fold Change,5000,NNLS,0.9439,0.0366
Top Fold Change,5000,SVR,0.9414,0.0373
Top Fold Change,5000,Robust Regression,0.9413,0.0375
