noise_level,method,pearson_r,rmse,mae
0.0,NNLS,0.9437,0.0367,0.0242
0.0,SVR,0.9411,0.0373,0.025
0.0,Robust Regression,0.9413,0.0375,0.0247
0.1,NNLS,0.9436,0.0367,0.0241
0.1,SVR,0.9419,0.0371,0.0248
0.1,Robust Regression,0.9413,0.0374,0.0246
0.25,NNLS,0.9433,0.0367,0.0241
0.25,SVR,0.9414,0.0372,0.0247
0.25,Robust Regression,0.9415,0.0373,0.0246
0.5,NNLS,0.942,0.0369,0.0244
0.5,SVR,0.9391,0.0379,0.0253
0.5,Robust Regression,0.9407,0.0374,0.0248
0.75,NNLS,0.9392,0.0375,0.0253
0.75,SVR,0.9355,0.0389,0.0266
0.75,Robust Regression,0.9383,0.0379,0.0257
1.0,NNLS,0.9345,0.0387,0.0269
1.0,SVR,0.9308,0.0402,0.0283
1.0,Robust Regression,0.9348,0.0388,0.0269
